name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sphingomonas carri	1634989	S	11	0	11	0.00020
Sphingomonas adhaesiva	28212	S	10	9	19	0.00034
Sphingomonas gei	1395960	S	10	69	79	0.00142
Roseomonas riguiloci	940141	S	597	0	597	0.01073
Roseomonas aeriglobus	2267537	S	98	0	98	0.00176
Roseomonas rosea	198092	S	64	0	64	0.00115
Roseomonas pecuniae	693023	S	24	0	24	0.00043
Acidisoma sibiricum	512383	S	213	0	213	0.00383
Belnapia soli	1055355	S	12	0	12	0.00022
Swaminathania salitolerans	182838	S	18	0	18	0.00032
Sediminicoccus rosea	1225128	S	17	0	17	0.00031
Acidisphaera rubrifaciens	50715	S	14	0	14	0.00025
Paracoccus luteus	2508543	S	494	0	494	0.00888
Paracoccus stylophorae	659350	S	97	0	97	0.00174
Paracoccus pacificus	1463598	S	62	0	62	0.00111
Paracoccus sordidisoli	1798717	S	34	27	61	0.00110
Paracoccus haeundaensis	225362	S	33	0	33	0.00059
Paracoccus methylutens	135742	S	33	0	33	0.00059
Paracoccus fistulariae	658446	S	28	0	28	0.00050
Paracoccus caeni	657651	S	14	412	426	0.00765
Paracoccus chinensis	525640	S	13	70	83	0.00149
Paracoccus thiocyanatus	34006	S	11	0	11	0.00020
Paracoccus seriniphilus	184748	S	11	36	47	0.00084
Pseudorhodobacter ferrugineus	77008	S	60	0	60	0.00108
Methylarcula terricola	72023	S	12	0	12	0.00022
Diplorickettsia massiliensis	676517	S	6110	0	6110	0.10978
Aquicella siphonis	254247	S	569	0	569	0.01022
Aquicella lusitana	254246	S	95	0	95	0.00171
Legionella drancourtii	168933	S	502	0	502	0.00902
Legionella tucsonensis	40335	S	116	0	116	0.00208
Legionella israelensis	454	S	104	0	104	0.00187
Legionella lytica	96232	S	91	0	91	0.00164
Legionella nautarum	45070	S	88	0	88	0.00158
Legionella moravica	39962	S	32	0	32	0.00057
Legionella sainthelensi	28087	S	19	0	19	0.00034
Legionella gratiana	45066	S	19	0	19	0.00034
Legionella oakridgensis	29423	S	12	0	12	0.00022
Legionella geestiana	45065	S	10	0	10	0.00018
Pseudomonas azotoformans	47878	S	24	12	36	0.00065
Pseudomonas fluorescens	294	S	22	37	59	0.00106
Pseudomonas marginalis	298	S	14	8	22	0.00040
Pseudomonas mediterranea	183795	S	12	0	12	0.00022
Pseudomonas tolaasii	29442	S	11	13	24	0.00043
Pseudomonas oleovorans	301	S	24	30	54	0.00097
Pseudomonas alcaligenes	43263	S	20	0	20	0.00036
Pseudomonas aeruginosa	287	S	17	9	26	0.00047
Pseudomonas amygdali	47877	S	12	0	12	0.00022
Pseudomonas putida	303	S	21	28	49	0.00088
Pseudomonas versuta	1788301	S	25	0	25	0.00045
Pseudomonas saponiphila	556534	S	21	0	21	0.00038
Pseudomonas moraviensis	321662	S	20	0	20	0.00036
Pseudomonas borbori	289003	S	19	0	19	0.00034
Pseudomonas brassicacearum	930166	S	19	0	19	0.00034
Pseudomonas psychrophila	122355	S	14	5	19	0.00034
Pseudomonas seleniipraecipitans	640205	S	11	0	11	0.00020
Avibacterium volantium	762	S	20	0	20	0.00036
Sporosarcina globispora	1459	S	1714	-1	1713	0.03078
Sporosarcina soli	334736	S	1001	721	1722	0.03094
Sporosarcina terrae	1803212	S	51	0	51	0.00092
Sporosarcina thermotolerans	633404	S	42	0	42	0.00075
Sporosarcina pasteurii	1474	S	29	18	47	0.00084
Sporosarcina contaminans	633403	S	22	0	22	0.00040
Planococcus columbae	326078	S	42	0	42	0.00075
Planococcus versutus	1302659	S	14	0	14	0.00025
Solibacillus kalamii	1748298	S	11	0	11	0.00020
Aquisalibacillus elongatus	485577	S	54	0	54	0.00097
Bacillus tamaricis	2069301	S	17	0	17	0.00031
Ornithinibacillus heyuanensis	1392876	S	32	0	32	0.00057
Halolactibacillus halophilus	306540	S	11	1	12	0.00022
Anoxybacillus tengchongensis	576944	S	14	0	14	0.00025
Aureibacillus halotolerans	1508390	S	11	0	11	0.00020
Deinococcus ruber	1848197	S	316	0	316	0.00568
Deinococcus budaensis	1665626	S	316	0	316	0.00568
Deinococcus aerophilus	522488	S	123	0	123	0.00221
Deinococcus maricopensis	309887	S	37	0	37	0.00066
Deinococcus lacus	392561	S	15	0	15	0.00027
Calothrix desertica	32056	S	51	0	51	0.00092
Fimbriiglobus ruber	1908690	S	1539	0	1539	0.02765
Limnoglobus roseus	2598579	S	540	0	540	0.00970
Gemmata massiliana	1210884	S	105	0	105	0.00189
Gemmata obscuriglobus	114	S	50	0	50	0.00090
Zavarzinella formosa	360055	S	57	0	57	0.00102
Telmatocola sphagniphila	1123043	S	29	0	29	0.00052
Fibrella aestuarina	651143	S	64	0	64	0.00115
Flavobacterium sangjuense	2518177	S	26	0	26	0.00047
