name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas	286	G	25385	13	25398	0.17029
Acinetobacter	469	G	16832	54	16886	0.11322
Alkanindiges	222991	G	107	0	107	0.00072
Psychrobacter	497	G	44	0	44	0.00030
Moraxella	475	G	40	0	40	0.00027
Agitococcus	186829	G	16	0	16	0.00011
Pararheinheimera	2071980	G	19525	0	19525	0.13091
Rheinheimera	67575	G	15096	-1	15095	0.10121
Arsukibacterium	336830	G	442	0	442	0.00296
Thiocystis	13724	G	195	0	195	0.00131
Marichromatium	85076	G	87	0	87	0.00058
Thiorhodococcus	57488	G	48	-24	24	0.00016
Lamprocystis	53452	G	28	-1	27	0.00018
Nitrosococcus	1227	G	18	-2	16	0.00011
Imhoffiella	2018671	G	11	0	11	0.00007
Isochromatium	85077	G	10	0	10	0.00007
Aeromonas	642	G	37890	5	37895	0.25408
Pseudaeromonas	1929090	G	346	-13	333	0.00223
Tolumonas	43947	G	31	0	31	0.00021
Rahnella	34037	G	1290	2	1292	0.00866
Serratia	613	G	887	243	1130	0.00758
Yersinia	629	G	122	-22	100	0.00067
Gibbsiella	929812	G	120	0	120	0.00080
Citrobacter	544	G	264	36	300	0.00201
Kluyvera	579	G	211	77	288	0.00193
Edaphovirga	2678248	G	190	0	190	0.00127
Pseudescherichia	2055880	G	174	-1	173	0.00116
Cronobacter	413496	G	111	17	128	0.00086
Franconibacter	1649295	G	101	5	106	0.00071
Buttiauxella	82976	G	99	54	153	0.00103
Klebsiella	570	G	77	50	127	0.00085
Cedecea	158483	G	71	0	71	0.00048
Enterobacter	547	G	60	40	100	0.00067
Salmonella	590	G	49	-21	28	0.00019
Trabulsiella	158851	G	34	0	34	0.00023
Pluralibacter	1330546	G	25	0	25	0.00017
Lelliottia	1330545	G	18	306	324	0.00217
Siccibacter	1649298	G	15	0	15	0.00010
Phytobacter	447792	G	15	0	15	0.00010
Kosakonia	1330547	G	14	0	14	0.00009
Erwinia	551	G	468	0	468	0.00314
Tatumella	82986	G	213	0	213	0.00143
Pantoea	53335	G	182	696	878	0.00589
Buchnera	32199	G	40	0	40	0.00027
Rosenbergiella	1356488	G	32	0	32	0.00021
Izhakiella	1780190	G	13	-13	0	0.00000
Mixta	2100764	G	10	0	10	0.00007
Plesiomonas	702	G	419	0	419	0.00281
Brenneria	71655	G	191	0	191	0.00128
Pectobacterium	122277	G	113	8	121	0.00081
Dickeya	204037	G	76	0	76	0.00051
Xenorhabdus	626	G	73	-1	72	0.00048
Providencia	586	G	55	0	55	0.00037
Morganella	581	G	36	0	36	0.00024
Photorhabdus	29487	G	26	0	26	0.00017
Proteus	583	G	19	0	19	0.00013
Pragia	82984	G	14	0	14	0.00009
Cellvibrio	10	G	399	0	399	0.00268
Marinimicrobium	359337	G	10	0	10	0.00007
Shewanella	22	G	128	-1	127	0.00085
Pseudoalteromonas	53246	G	111	0	111	0.00074
Alishewanella	111142	G	18	-1	17	0.00011
Stenotrophomonas	40323	G	139	9	148	0.00099
Silanimonas	292713	G	39	-6	33	0.00022
Arenimonas	490567	G	36	0	36	0.00024
Lysobacter	68	G	18	-6	12	0.00008
Pseudoxanthomonas	83618	G	13	-1	12	0.00008
Tahibacter	1453544	G	17	0	17	0.00011
Vibrio	662	G	84	-1	83	0.00056
Photobacterium	657	G	19	0	19	0.00013
Salinivibrio	51366	G	12	-1	11	0.00007
Marinobacterium	48075	G	34	-1	33	0.00022
