name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acinetobacter	469	G	39210	124	39334	0.20494
Alkanindiges	222991	G	235	0	235	0.00122
Moraxella	475	G	75	5	80	0.00042
Psychrobacter	497	G	53	-1	52	0.00027
Agitococcus	186829	G	40	0	40	0.00021
Pseudomonas	286	G	39098	16	39114	0.20379
Pararheinheimera	2071980	G	18307	0	18307	0.09538
Rheinheimera	67575	G	13943	-1	13942	0.07264
Arsukibacterium	336830	G	417	0	417	0.00217
Thiocystis	13724	G	176	-1	175	0.00091
Marichromatium	85076	G	79	0	79	0.00041
Thiorhodococcus	57488	G	73	-48	25	0.00013
Lamprocystis	53452	G	51	0	51	0.00027
Isochromatium	85077	G	15	0	15	0.00008
Nitrosococcus	1227	G	12	-1	11	0.00006
Thiohalospira	476278	G	10	0	10	0.00005
Aeromonas	642	G	27484	3	27487	0.14321
Pseudaeromonas	1929090	G	449	-12	437	0.00228
Tolumonas	43947	G	51	0	51	0.00027
Oceanisphaera	225143	G	13	-3	10	0.00005
Rahnella	34037	G	1480	4	1484	0.00773
Serratia	613	G	1017	373	1390	0.00724
Yersinia	629	G	214	-8	206	0.00107
Gibbsiella	929812	G	174	0	174	0.00091
Citrobacter	544	G	310	42	352	0.00183
Kluyvera	579	G	241	144	385	0.00201
Edaphovirga	2678248	G	239	0	239	0.00125
Pseudescherichia	2055880	G	196	-2	194	0.00101
Cronobacter	413496	G	154	28	182	0.00095
Franconibacter	1649295	G	117	6	123	0.00064
Buttiauxella	82976	G	100	26	126	0.00066
Klebsiella	570	G	78	64	142	0.00074
Enterobacter	547	G	67	53	120	0.00063
Cedecea	158483	G	64	0	64	0.00033
Salmonella	590	G	60	-1	59	0.00031
Trabulsiella	158851	G	45	0	45	0.00023
Pluralibacter	1330546	G	34	0	34	0.00018
Kosakonia	1330547	G	20	0	20	0.00010
Lelliottia	1330545	G	16	362	378	0.00197
Siccibacter	1649298	G	15	0	15	0.00008
