name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	49621	4	49625	0.31161
Pseudaeromonas	1929090	G	1086	-15	1071	0.00673
Tolumonas	43947	G	122	-2	120	0.00075
Pararheinheimera	2071980	G	28061	0	28061	0.17620
Rheinheimera	67575	G	6286	0	6286	0.03947
Arsukibacterium	336830	G	281	0	281	0.00176
Thiocystis	13724	G	125	-3	122	0.00077
Marichromatium	85076	G	48	0	48	0.00030
Thiorhodococcus	57488	G	18	1	19	0.00012
Imhoffiella	2018671	G	10	0	10	0.00006
Acinetobacter	469	G	13404	61	13465	0.08455
Alkanindiges	222991	G	223	0	223	0.00140
Agitococcus	186829	G	69	0	69	0.00043
Moraxella	475	G	54	0	54	0.00034
Psychrobacter	497	G	48	-1	47	0.00030
Pseudomonas	286	G	13508	12	13520	0.08490
Rahnella	34037	G	3329	18	3347	0.02102
Serratia	613	G	1937	625	2562	0.01609
Yersinia	629	G	536	-14	522	0.00328
Gibbsiella	929812	G	151	0	151	0.00095
Ewingella	41201	G	13	-1	12	0.00008
Citrobacter	544	G	565	85	650	0.00408
Kluyvera	579	G	405	384	789	0.00495
Pseudescherichia	2055880	G	308	-1	307	0.00193
Edaphovirga	2678248	G	233	0	233	0.00146
Cronobacter	413496	G	230	58	288	0.00181
Buttiauxella	82976	G	230	-11	219	0.00138
Franconibacter	1649295	G	213	6	219	0.00138
Klebsiella	570	G	154	79	233	0.00146
Enterobacter	547	G	122	67	189	0.00119
Cedecea	158483	G	108	0	108	0.00068
Trabulsiella	158851	G	91	0	91	0.00057
Salmonella	590	G	75	-10	65	0.00041
Pluralibacter	1330546	G	56	0	56	0.00035
Kosakonia	1330547	G	35	0	35	0.00022
Shimwellia	1335483	G	30	-1	29	0.00018
Phytobacter	447792	G	26	0	26	0.00016
Lelliottia	1330545	G	23	289	312	0.00196
Siccibacter	1649298	G	19	0	19	0.00012
Mangrovibacter	451512	G	14	0	14	0.00009
Escherichia	561	G	10	5	15	0.00009
Erwinia	551	G	877	1	878	0.00551
Pantoea	53335	G	260	819	1079	0.00678
Tatumella	82986	G	259	0	259	0.00163
Buchnera	32199	G	63	0	63	0.00040
Rosenbergiella	1356488	G	54	-1	53	0.00033
Mixta	2100764	G	16	0	16	0.00010
Plesiomonas	702	G	1149	0	1149	0.00721
Brenneria	71655	G	362	-7	355	0.00223
Pectobacterium	122277	G	225	25	250	0.00157
Dickeya	204037	G	85	0	85	0.00053
Xenorhabdus	626	G	96	-10	86	0.00054
Morganella	581	G	78	1	79	0.00050
Providencia	586	G	76	-1	75	0.00047
Photorhabdus	29487	G	45	0	45	0.00028
Proteus	583	G	31	0	31	0.00019
Pragia	82984	G	19	0	19	0.00012
Budvicia	82978	G	11	-6	5	0.00003
Biostraticola	466108	G	16	0	16	0.00010
Stenotrophomonas	40323	G	293	21	314	0.00197
Arenimonas	490567	G	70	-6	64	0.00040
Silanimonas	292713	G	68	-9	59	0.00037
Lysobacter	68	G	45	0	45	0.00028
Pseudoxanthomonas	83618	G	32	-1	31	0.00019
Tahibacter	1453544	G	117	0	117	0.00073
Shewanella	22	G	223	-1	222	0.00139
Pseudoalteromonas	53246	G	66	0	66	0.00041
Marinobacterium	48075	G	95	-2	93	0.00058
Halomonas	2745	G	20	-1	19	0.00012
Cellvibrio	10	G	75	-1	74	0.00046
Vibrio	662	G	60	-1	59	0.00037
Gallaecimonas	745410	G	35	0	35	0.00022
Ignatzschineria	112008	G	26	-26	0	0.00000
Legionella	445	G	41	0	41	0.00026
Comamonas	283	G	2777	3	2780	0.01746
Polaromonas	52972	G	1455	0	1455	0.00914
Rhodoferax	28065	G	1018	0	1018	0.00639
Limnohabitans	665874	G	979	-51	928	0.00583
Acidovorax	12916	G	687	1	688	0.00432
Delftia	80865	G	424	215	639	0.00401
