name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Noviherbaspirillum	1344552	G	33	-4	29	0.00015
Oxalobacter	846	G	12	0	12	0.00006
Glaciimonas	1229970	G	12	-1	11	0.00006
Lautropia	47670	G	73	-72	1	0.00001
Cupriavidus	106589	G	64	-1	63	0.00033
Pandoraea	93217	G	52	0	52	0.00027
Paraburkholderia	1822464	G	27	-1	26	0.00014
Caballeronia	1827195	G	22	-4	18	0.00009
Burkholderia	32008	G	13	10	23	0.00012
Hydromonas	1910924	G	13	0	13	0.00007
Achromobacter	222	G	70	6	76	0.00040
Sutterella	40544	G	10	-8	2	0.00001
Vogesella	57739	G	4217	-1	4216	0.02193
Deefgea	400947	G	2764	-43	2721	0.01415
Aquitalea	407217	G	486	-486	0	0.00000
Iodobacter	32014	G	93	-6	87	0.00045
Chromobacterium	535	G	64	-14	50	0.00026
Chitinibacter	230666	G	80	0	80	0.00042
Leeia	650341	G	34	0	34	0.00018
Jeongeupia	885864	G	21	-2	19	0.00010
Aquaspirillum	187	G	20	-1	19	0.00010
Formivibrio	83764	G	14	0	14	0.00007
Silvimonas	300264	G	11	-11	0	0.00000
Microvirgula	57479	G	10	-7	3	0.00002
Rivicola	1649488	G	341	0	341	0.00177
Vitreoscilla	59	G	73	0	73	0.00038
Neisseria	482	G	14	0	14	0.00007
Crenobacter	1654931	G	11	0	11	0.00006
Methylotenera	359407	G	114	-4	110	0.00057
Pseudomethylobacillus	2676063	G	65	0	65	0.00034
Methylobacillus	404	G	42	0	42	0.00022
Methylophilus	16	G	10	-2	8	0.00004
Thiobacillus	919	G	12	-2	10	0.00005
Cypionkella	2804673	G	1271	-1136	135	0.00070
Gemmobacter	204456	G	800	-1	799	0.00416
Rhodobacter	1060	G	525	3	528	0.00275
Tabrizicola	1443919	G	285	485	770	0.00401
Cereibacter	1653176	G	247	0	247	0.00128
Paracoccus	265	G	184	0	184	0.00096
Pseudorhodobacter	238783	G	140	0	140	0.00073
Defluviimonas	1097466	G	95	-2	93	0.00048
Roseibaca	1400060	G	85	0	85	0.00044
Amaricoccus	56999	G	66	-18	48	0.00025
Thioclava	285107	G	61	2	63	0.00033
Rhodovulum	34008	G	61	-3	58	0.00030
Amylibacter	1617805	G	56	-51	5	0.00003
Meinhardsimonia	2846747	G	53	0	53	0.00028
Roseinatronobacter	121820	G	31	0	31	0.00016
Pseudooceanicola	1679449	G	28	12	40	0.00021
Pararhodobacter	1097465	G	23	0	23	0.00012
Methylarcula	72021	G	22	0	22	0.00011
Marimonas	1914026	G	22	0	22	0.00011
Limibaculum	2036011	G	21	0	21	0.00011
Albirhodobacter	1537716	G	18	0	18	0.00009
Albimonas	663242	G	16	0	16	0.00008
Psychromarinibacter	2035345	G	15	0	15	0.00008
Chachezhania	2603319	G	15	0	15	0.00008
Marinosulfonomonas	50056	G	13	0	13	0.00007
Jannaschia	188905	G	43	-43	0	0.00000
Oceanicola	252301	G	30	0	30	0.00016
Neomegalonema	356797	G	13	6	19	0.00010
Rhizobium	379	G	111	8	119	0.00062
Shinella	323620	G	86	0	86	0.00045
Methylobacterium	407	G	34	-16	18	0.00009
Microvirga	186650	G	24	-4	20	0.00010
Enterovirga	2026349	G	15	0	15	0.00008
Rhodoblastus	168658	G	76	-11	65	0.00034
Beijerinckia	532	G	38	-30	8	0.00004
Hyphomicrobium	81	G	152	-32	120	0.00062
Nordella	169055	G	153	0	153	0.00080
Hansschlegelia	444599	G	89	0	89	0.00046
Methylocystis	133	G	13	0	13	0.00007
Methylopila	61653	G	10	-1	9	0.00005
Bosea	85413	G	84	0	84	0.00044
Mesorhizobium	68287	G	29	10	39	0.00020
Hoeflea	274591	G	20	0	20	0.00010
Variibacter	1649510	G	24	1	25	0.00013
Rhodoligotrophos	987053	G	17	-1	16	0.00008
Labrys	204476	G	11	-6	5	0.00003
Devosia	46913	G	18	-6	12	0.00006
Martelella	293088	G	10	1	11	0.00006
Novosphingobium	165696	G	118	1	119	0.00062
Sphingorhabdus	1434046	G	101	0	101	0.00053
Sphingomonas	13687	G	74	0	74	0.00038
Sphingobium	165695	G	12	-1	11	0.00006
Parasphingopyxis	1234545	G	12	-12	0	0.00000
Polymorphobacter	1508451	G	148	-18	130	0.00068
Sandarakinorhabdus	362865	G	17	0	17	0.00009
