name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	78755	6	78761	0.44958
Pseudaeromonas	1929090	G	671	-15	656	0.00374
Tolumonas	43947	G	88	0	88	0.00050
Oceanimonas	129577	G	12	0	12	0.00007
Rahnella	34037	G	5801	22	5823	0.03324
Serratia	613	G	5622	884	6506	0.03714
Yersinia	629	G	487	-14	473	0.00270
Gibbsiella	929812	G	190	-3	187	0.00107
Citrobacter	544	G	888	141	1029	0.00587
Kluyvera	579	G	669	788	1457	0.00832
Pseudescherichia	2055880	G	499	-1	498	0.00284
Buttiauxella	82976	G	398	1	399	0.00228
Franconibacter	1649295	G	354	20	374	0.00213
Cronobacter	413496	G	336	49	385	0.00220
Edaphovirga	2678248	G	252	1	253	0.00144
Klebsiella	570	G	224	157	381	0.00217
Enterobacter	547	G	213	153	366	0.00209
Salmonella	590	G	159	-85	74	0.00042
Cedecea	158483	G	141	0	141	0.00080
Trabulsiella	158851	G	122	0	122	0.00070
Pluralibacter	1330546	G	55	0	55	0.00031
Kosakonia	1330547	G	46	0	46	0.00026
Phytobacter	447792	G	41	0	41	0.00023
Lelliottia	1330545	G	40	805	845	0.00482
Siccibacter	1649298	G	33	0	33	0.00019
Shimwellia	1335483	G	24	0	24	0.00014
Escherichia	561	G	23	0	23	0.00013
Mangrovibacter	451512	G	14	0	14	0.00008
Raoultella	160674	G	10	13	23	0.00013
Erwinia	551	G	1812	1	1813	0.01035
Tatumella	82986	G	444	7	451	0.00257
Pantoea	53335	G	399	1237	1636	0.00934
Buchnera	32199	G	106	0	106	0.00061
Rosenbergiella	1356488	G	99	-2	97	0.00055
Mixta	2100764	G	32	6	38	0.00022
Izhakiella	1780190	G	16	-16	0	0.00000
Plesiomonas	702	G	2030	0	2030	0.01159
Brenneria	71655	G	439	-1	438	0.00250
Pectobacterium	122277	G	347	20	367	0.00209
Dickeya	204037	G	108	0	108	0.00062
Xenorhabdus	626	G	145	-18	127	0.00072
Providencia	586	G	113	-1	112	0.00064
Morganella	581	G	86	0	86	0.00049
Proteus	583	G	55	0	55	0.00031
Photorhabdus	29487	G	46	0	46	0.00026
Obesumbacterium	82982	G	13	379	392	0.00224
Edwardsiella	635	G	10	-10	0	0.00000
Budvicia	82978	G	28	-6	22	0.00013
Pragia	82984	G	21	0	21	0.00012
Thorsellia	336803	G	10	0	10	0.00006
Pararheinheimera	2071980	G	11528	-1	11527	0.06580
Rheinheimera	67575	G	8537	-1	8536	0.04873
Arsukibacterium	336830	G	253	0	253	0.00144
Thiocystis	13724	G	117	0	117	0.00067
Marichromatium	85076	G	55	0	55	0.00031
Thiorhodococcus	57488	G	30	-14	16	0.00009
