name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Tabrizicola	1443919	G	434	619	1053	0.01161
Defluviimonas	1097466	G	331	0	331	0.00365
Pseudorhodobacter	238783	G	246	1	247	0.00272
Roseibaca	1400060	G	240	0	240	0.00265
Cereibacter	1653176	G	199	0	199	0.00219
Paracoccus	265	G	194	0	194	0.00214
Rhodovulum	34008	G	87	-1	86	0.00095
Amaricoccus	56999	G	69	-22	47	0.00052
Thioclava	285107	G	48	0	48	0.00053
Roseinatronobacter	121820	G	47	0	47	0.00052
Pararhodobacter	1097465	G	40	0	40	0.00044
Marimonas	1914026	G	39	0	39	0.00043
Meinhardsimonia	2846747	G	38	0	38	0.00042
Albirhodobacter	1537716	G	32	0	32	0.00035
Amylibacter	1617805	G	31	-23	8	0.00009
Methylarcula	72021	G	28	0	28	0.00031
Jhaorihella	1511750	G	27	0	27	0.00030
Pseudooceanicola	1679449	G	23	12	35	0.00039
Limibaculum	2036011	G	21	0	21	0.00023
Albimonas	663242	G	19	0	19	0.00021
Psychromarinibacter	2035345	G	18	0	18	0.00020
Chachezhania	2603319	G	17	0	17	0.00019
Monaibacterium	2029873	G	13	1	14	0.00015
Marinosulfonomonas	50056	G	13	0	13	0.00014
Rhodosalinus	2047740	G	12	0	12	0.00013
Pontivivens	1844015	G	10	0	10	0.00011
Jannaschia	188905	G	44	0	44	0.00048
Neomegalonema	356797	G	19	0	19	0.00021
Polymorphobacter	1508451	G	1353	-146	1207	0.01330
Sandarakinorhabdus	362865	G	173	-5	168	0.00185
Sphingorhabdus	1434046	G	713	0	713	0.00786
Sphingomonas	13687	G	298	0	298	0.00328
Novosphingobium	165696	G	228	1	229	0.00252
Sphingopyxis	165697	G	41	1	42	0.00046
Aquisediminimonas	2676781	G	32	0	32	0.00035
Stakelama	1124625	G	31	0	31	0.00034
Sphingobium	165695	G	23	0	23	0.00025
Parasphingorhabdus	2709685	G	15	-15	0	0.00000
Erythrobacter	1041	G	83	7	90	0.00099
Nordella	169055	G	329	0	329	0.00363
Rhizobium	379	G	99	1	100	0.00110
Pararhizobium	1612611	G	20	16	36	0.00040
Shinella	323620	G	96	0	96	0.00106
Hyphomicrobium	81	G	148	-33	115	0.00127
Methylobacterium	407	G	27	-13	14	0.00015
Microvirga	186650	G	13	0	13	0.00014
Enterovirga	2026349	G	13	0	13	0.00014
Hansschlegelia	444599	G	84	0	84	0.00093
Mesorhizobium	68287	G	38	5	43	0.00047
Hoeflea	274591	G	21	0	21	0.00023
Variibacter	1649510	G	23	0	23	0.00025
Bradyrhizobium	374	G	17	-17	0	0.00000
Rhodopseudomonas	1073	G	13	0	13	0.00014
Rhodoblastus	168658	G	19	-3	16	0.00018
Beijerinckia	532	G	13	-6	7	0.00008
Rhodoligotrophos	987053	G	25	0	25	0.00028
Anderseniella	444432	G	15	0	15	0.00017
Labrys	204476	G	12	-5	7	0.00008
