name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	56795	11	56806	0.26076
Pseudaeromonas	1929090	G	530	-8	522	0.00240
Tolumonas	43947	G	79	0	79	0.00036
Rahnella	34037	G	5145	21	5166	0.02371
Serratia	613	G	4313	1345	5658	0.02597
Gibbsiella	929812	G	1338	0	1338	0.00614
Yersinia	629	G	1300	-26	1274	0.00585
Nissabacter	1964366	G	16	97	113	0.00052
Edaphovirga	2678248	G	2506	0	2506	0.01150
Citrobacter	544	G	2180	315	2495	0.01145
Kluyvera	579	G	1305	1676	2981	0.01368
Pseudescherichia	2055880	G	1232	-1	1231	0.00565
Buttiauxella	82976	G	829	451	1280	0.00588
Franconibacter	1649295	G	808	16	824	0.00378
Cronobacter	413496	G	663	185	848	0.00389
Klebsiella	570	G	459	322	781	0.00359
Enterobacter	547	G	442	330	772	0.00354
Cedecea	158483	G	390	0	390	0.00179
Salmonella	590	G	337	-18	319	0.00146
Trabulsiella	158851	G	272	1	273	0.00125
Pluralibacter	1330546	G	154	0	154	0.00071
Lelliottia	1330545	G	96	2000	2096	0.00962
Kosakonia	1330547	G	96	0	96	0.00044
Phytobacter	447792	G	84	0	84	0.00039
Shimwellia	1335483	G	84	1	85	0.00039
Siccibacter	1649298	G	24	0	24	0.00011
Pseudocitrobacter	1504576	G	21	0	21	0.00010
Escherichia	561	G	13	0	13	0.00006
Shigella	620	G	12	0	12	0.00006
Mangrovibacter	451512	G	10	0	10	0.00005
Erwinia	551	G	3948	2	3950	0.01813
Tatumella	82986	G	1120	16	1136	0.00521
Pantoea	53335	G	1022	2244	3266	0.01499
Buchnera	32199	G	257	0	257	0.00118
Rosenbergiella	1356488	G	216	-7	209	0.00096
Mixta	2100764	G	79	18	97	0.00045
Izhakiella	1780190	G	59	-59	0	0.00000
Brenneria	71655	G	1180	-6	1174	0.00539
Pectobacterium	122277	G	702	31	733	0.00336
Dickeya	204037	G	345	0	345	0.00158
Lonsdalea	1082702	G	26	8	34	0.00016
Samsonia	160433	G	23	0	23	0.00011
Plesiomonas	702	G	1623	0	1623	0.00745
Xenorhabdus	626	G	529	-62	467	0.00214
Providencia	586	G	314	-1	313	0.00144
Morganella	581	G	281	-1	280	0.00129
Proteus	583	G	162	0	162	0.00074
Photorhabdus	29487	G	143	0	143	0.00066
Arsenophonus	637	G	28	0	28	0.00013
Edwardsiella	635	G	13	-13	0	0.00000
Pragia	82984	G	102	0	102	0.00047
Budvicia	82978	G	33	-3	30	0.00014
Thorsellia	336803	G	28	0	28	0.00013
