name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	75850	5	75855	0.44386
Pseudaeromonas	1929090	G	1187	-24	1163	0.00681
Tolumonas	43947	G	126	-2	124	0.00073
Acinetobacter	469	G	24345	67	24412	0.14284
Alkanindiges	222991	G	114	0	114	0.00067
Psychrobacter	497	G	78	-1	77	0.00045
Moraxella	475	G	62	5	67	0.00039
Agitococcus	186829	G	46	0	46	0.00027
Pseudomonas	286	G	13560	11	13571	0.07941
Rahnella	34037	G	3088	21	3109	0.01819
Serratia	613	G	2351	601	2952	0.01727
Gibbsiella	929812	G	495	0	495	0.00290
Yersinia	629	G	474	-22	452	0.00264
Ewingella	41201	G	10	0	10	0.00006
Citrobacter	544	G	813	172	985	0.00576
Kluyvera	579	G	679	646	1325	0.00775
Edaphovirga	2678248	G	676	0	676	0.00396
Pseudescherichia	2055880	G	510	-1	509	0.00298
Buttiauxella	82976	G	444	33	477	0.00279
Franconibacter	1649295	G	326	7	333	0.00195
Cronobacter	413496	G	272	78	350	0.00205
Klebsiella	570	G	233	155	388	0.00227
Enterobacter	547	G	217	152	369	0.00216
Cedecea	158483	G	166	0	166	0.00097
Trabulsiella	158851	G	122	0	122	0.00071
Salmonella	590	G	111	-11	100	0.00059
Pluralibacter	1330546	G	82	0	82	0.00048
Kosakonia	1330547	G	55	0	55	0.00032
Lelliottia	1330545	G	50	830	880	0.00515
Siccibacter	1649298	G	37	0	37	0.00022
Phytobacter	447792	G	32	0	32	0.00019
Shimwellia	1335483	G	32	-1	31	0.00018
Erwinia	551	G	1618	1	1619	0.00947
Tatumella	82986	G	458	0	458	0.00268
Pantoea	53335	G	403	1167	1570	0.00919
Buchnera	32199	G	122	0	122	0.00071
Rosenbergiella	1356488	G	85	-3	82	0.00048
Izhakiella	1780190	G	26	-26	0	0.00000
Mixta	2100764	G	18	2	20	0.00012
Plesiomonas	702	G	1115	0	1115	0.00652
Brenneria	71655	G	587	-3	584	0.00342
Pectobacterium	122277	G	346	23	369	0.00216
Dickeya	204037	G	108	0	108	0.00063
Lonsdalea	1082702	G	14	4	18	0.00011
Xenorhabdus	626	G	196	-22	174	0.00102
Providencia	586	G	126	0	126	0.00074
Morganella	581	G	119	0	119	0.00070
