name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aeromonas	642	G	66387	2	66389	0.31691
Tolumonas	43947	G	188	0	188	0.00090
Pseudaeromonas	1929090	G	109	-6	103	0.00049
Oceanisphaera	225143	G	12	-4	8	0.00004
Pararheinheimera	2071980	G	24551	0	24551	0.11720
Rheinheimera	67575	G	12299	0	12299	0.05871
Arsukibacterium	336830	G	684	0	684	0.00327
Thiocystis	13724	G	259	0	259	0.00124
Marichromatium	85076	G	198	-1	197	0.00094
Thiorhodococcus	57488	G	128	0	128	0.00061
Isochromatium	85077	G	52	0	52	0.00025
Nitrosococcus	1227	G	20	-1	19	0.00009
Allochromatium	85072	G	17	0	17	0.00008
Imhoffiella	2018671	G	14	0	14	0.00007
Lamprocystis	53452	G	13	-4	9	0.00004
Thioalkalibacter	469655	G	17	0	17	0.00008
Thiohalospira	476278	G	11	0	11	0.00005
Pseudomonas	286	G	17238	17	17255	0.08237
Acinetobacter	469	G	8499	3	8502	0.04058
Alkanindiges	222991	G	663	0	663	0.00316
Agitococcus	186829	G	266	0	266	0.00127
Moraxella	475	G	79	0	79	0.00038
Perlucidibaca	661182	G	77	-4	73	0.00035
Psychrobacter	497	G	63	-1	62	0.00030
Rahnella	34037	G	1197	7	1204	0.00575
Serratia	613	G	923	487	1410	0.00673
Yersinia	629	G	582	-11	571	0.00273
Gibbsiella	929812	G	108	-1	107	0.00051
Citrobacter	544	G	279	44	323	0.00154
Kluyvera	579	G	249	120	369	0.00176
Pseudescherichia	2055880	G	224	-1	223	0.00106
Cronobacter	413496	G	190	24	214	0.00102
Buttiauxella	82976	G	181	-46	135	0.00064
Edaphovirga	2678248	G	166	0	166	0.00079
Franconibacter	1649295	G	118	10	128	0.00061
Salmonella	590	G	110	-79	31	0.00015
Enterobacter	547	G	88	48	136	0.00065
Klebsiella	570	G	80	35	115	0.00055
Cedecea	158483	G	73	0	73	0.00035
Trabulsiella	158851	G	33	0	33	0.00016
Pluralibacter	1330546	G	25	0	25	0.00012
Lelliottia	1330545	G	21	306	327	0.00156
Kosakonia	1330547	G	19	0	19	0.00009
Siccibacter	1649298	G	11	0	11	0.00005
Shimwellia	1335483	G	10	0	10	0.00005
Erwinia	551	G	780	2	782	0.00373
Tatumella	82986	G	209	0	209	0.00100
Pantoea	53335	G	194	850	1044	0.00498
Buchnera	32199	G	49	0	49	0.00023
Rosenbergiella	1356488	G	34	-5	29	0.00014
Plesiomonas	702	G	631	0	631	0.00301
Pectobacterium	122277	G	217	21	238	0.00114
Brenneria	71655	G	211	-3	208	0.00099
Dickeya	204037	G	63	0	63	0.00030
Xenorhabdus	626	G	63	-8	55	0.00026
Providencia	586	G	49	-1	48	0.00023
Morganella	581	G	45	2	47	0.00022
Photorhabdus	29487	G	39	0	39	0.00019
Proteus	583	G	31	0	31	0.00015
Pragia	82984	G	12	0	12	0.00006
Stenotrophomonas	40323	G	502	1	503	0.00240
Silanimonas	292713	G	458	-71	387	0.00185
Arenimonas	490567	G	246	-9	237	0.00113
Lysobacter	68	G	114	0	114	0.00054
Pseudoxanthomonas	83618	G	57	-1	56	0.00027
Luteimonas	83614	G	21	8	29	0.00014
Xanthomonas	338	G	12	15	27	0.00013
Tahibacter	1453544	G	30	0	30	0.00014
Shewanella	22	G	255	-1	254	0.00121
Pseudoalteromonas	53246	G	128	0	128	0.00061
Alishewanella	111142	G	23	-1	22	0.00011
Cellvibrio	10	G	186	0	186	0.00089
Oceanicoccus	1084558	G	14	0	14	0.00007
Marinobacterium	48075	G	75	-5	70	0.00033
Pseudospirillum	196078	G	12	-1	11	0.00005
Halomonas	2745	G	34	-1	33	0.00016
Chromohalobacter	42054	G	12	-1	11	0.00005
Reinekea	230494	G	10	-9	1	0.00000
Vibrio	662	G	105	0	105	0.00050
Photobacterium	657	G	17	0	17	0.00008
Salinivibrio	51366	G	15	-2	13	0.00006
Gallaecimonas	745410	G	48	0	48	0.00023
Alkalimonas	265980	G	30	-1	29	0.00014
Ignatzschineria	112008	G	25	-25	0	0.00000
Legionella	445	G	52	-1	51	0.00024
Thiomicrospira	933	G	15	0	15	0.00007
Ursidibacter	1855419	G	14	1	15	0.00007
Methylobacter	429	G	14	0	14	0.00007
Polaromonas	52972	G	7491	0	7491	0.03576
Acidovorax	12916	G	3337	3	3340	0.01594
Limnohabitans	665874	G	2110	-121	1989	0.00949
Hydrogenophaga	47420	G	1743	-2	1741	0.00831
Rhodoferax	28065	G	1667	-1	1666	0.00795
Comamonas	283	G	1361	1	1362	0.00650
Caenimonas	763439	G	237	0	237	0.00113
Giesbergeria	352449	G	173	-1	172	0.00082
Delftia	80865	G	142	127	269	0.00128
Curvibacter	281915	G	110	125	235	0.00112
Pseudacidovorax	433923	G	105	0	105	0.00050
Ottowia	219181	G	104	-6	98	0.00047
Pelomonas	335058	G	103	858	961	0.00459
Diaphorobacter	238749	G	99	9	108	0.00052
Ramlibacter	174951	G	92	9	101	0.00048
Verminephrobacter	364316	G	79	-31	48	0.00023
Simplicispira	352450	G	69	-1	68	0.00032
Extensimonas	1434001	G	68	-4	64	0.00031
Lampropedia	198705	G	67	0	67	0.00032
Variovorax	34072	G	63	29	92	0.00044
Kinneretia	683756	G	60	0	60	0.00029
Pseudorhodoferax	747294	G	54	0	54	0.00026
Brachymonas	28219	G	50	0	50	0.00024
