name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Herminiimonas	303379	G	14	-6	8	0.00005
Paucibacter	318147	G	332	-23	309	0.00209
Inhella	644355	G	188	-1	187	0.00127
Aquabacterium	92793	G	157	-11	146	0.00099
Rhizobacter	212743	G	131	34	165	0.00112
Ideonella	36862	G	68	-22	46	0.00031
Sphaerotilus	34102	G	26	-6	20	0.00014
Piscinibacterium	2066914	G	21	0	21	0.00014
Rivibacter	1146865	G	17	0	17	0.00012
Tepidimonas	114248	G	14	-13	1	0.00001
Thiomonas	32012	G	12	-7	5	0.00003
Leptothrix	88	G	12	25	37	0.00025
Lautropia	47670	G	53	-53	0	0.00000
Cupriavidus	106589	G	34	-1	33	0.00022
Pandoraea	93217	G	23	-1	22	0.00015
Paraburkholderia	1822464	G	16	-1	15	0.00010
Achromobacter	222	G	51	5	56	0.00038
Pigmentiphaga	152267	G	11	-1	10	0.00007
Deefgea	400947	G	812	-20	792	0.00537
Vogesella	57739	G	152	0	152	0.00103
Iodobacter	32014	G	52	-2	50	0.00034
Leeia	650341	G	16	0	16	0.00011
Rivicola	1649488	G	19	0	19	0.00013
Methylotenera	359407	G	67	-5	62	0.00042
Pseudomethylobacillus	2676063	G	29	0	29	0.00020
Methylobacillus	404	G	19	0	19	0.00013
Methylophilus	16	G	16	0	16	0.00011
Quatrionicoccus	138117	G	10	0	10	0.00007
Gemmobacter	204456	G	587	0	587	0.00398
Rhodobacter	1060	G	279	0	279	0.00189
Cypionkella	2804673	G	263	-228	35	0.00024
Cereibacter	1653176	G	175	-110	65	0.00044
Tabrizicola	1443919	G	127	278	405	0.00274
Paracoccus	265	G	85	0	85	0.00058
Pseudorhodobacter	238783	G	69	-1	68	0.00046
Amylibacter	1617805	G	45	-45	0	0.00000
Defluviimonas	1097466	G	37	-1	36	0.00024
Thioclava	285107	G	31	0	31	0.00021
Rhodovulum	34008	G	28	-2	26	0.00018
Amaricoccus	56999	G	19	-11	8	0.00005
Albimonas	663242	G	16	-1	15	0.00010
Meinhardsimonia	2846747	G	16	0	16	0.00011
Roseibaca	1400060	G	15	0	15	0.00010
Marimonas	1914026	G	15	0	15	0.00010
Roseinatronobacter	121820	G	13	0	13	0.00009
Limibaculum	2036011	G	10	0	10	0.00007
Oceanicola	252301	G	32	0	32	0.00022
Jannaschia	188905	G	16	-15	1	0.00001
Rhizobium	379	G	50	22	72	0.00049
Shinella	323620	G	47	0	47	0.00032
Rhodoblastus	168658	G	35	0	35	0.00024
Beijerinckia	532	G	26	-25	1	0.00001
Hyphomicrobium	81	G	79	-21	58	0.00039
Nordella	169055	G	69	0	69	0.00047
Microvirga	186650	G	11	-4	7	0.00005
Enterovirga	2026349	G	11	0	11	0.00007
Hansschlegelia	444599	G	33	0	33	0.00022
Bosea	85413	G	36	0	36	0.00024
Mesorhizobium	68287	G	13	-1	12	0.00008
Variibacter	1649510	G	12	0	12	0.00008
Devosia	46913	G	11	-4	7	0.00005
Sphingorhabdus	1434046	G	135	0	135	0.00091
Sphingomonas	13687	G	83	12	95	0.00064
Novosphingobium	165696	G	74	0	74	0.00050
Sphingobium	165695	G	24	1	25	0.00017
Parasphingopyxis	1234545	G	14	-14	0	0.00000
Erythrobacter	1041	G	225	9	234	0.00159
Polymorphobacter	1508451	G	51	-20	31	0.00021
Sandarakinorhabdus	362865	G	12	0	12	0.00008
Brevundimonas	41275	G	61	2	63	0.00043
Aquidulcibacter	2052989	G	50	0	50	0.00034
Caulobacter	75	G	10	0	10	0.00007
Roseomonas	125216	G	21	0	21	0.00014
Sediminicoccus	1706033	G	14	0	14	0.00009
Arcobacter	28196	G	138	0	138	0.00093
Aliarcobacter	2321111	G	16	-16	0	0.00000
Kaiparowitsia	2303524	G	944	0	944	0.00640
Tildeniella	2303519	G	28	-8	20	0.00014
Oculatella	1240886	G	21	-3	18	0.00012
Drouetiella	2303513	G	10	0	10	0.00007
Prochlorococcus	1218	G	949	0	949	0.00643
Altericista	2855430	G	52	-6	46	0.00031
Aegeococcus	2799720	G	18	-9	9	0.00006
Komvophoron	358711	G	46	0	46	0.00031
Haloleptolyngbya	1169405	G	36	0	36	0.00024
Chamaesiphon	217161	G	34	0	34	0.00023
Myxacorys	2056239	G	10	0	10	0.00007
Tapinothrix	890417	G	12	0	12	0.00008
Leptochromothrix	2831759	G	351	0	351	0.00238
Sodalinema	2219504	G	339	-1	338	0.00229
Lyngbya	28073	G	24	0	24	0.00016
Okeania	1458928	G	16	0	16	0.00011
Starria	241429	G	19	-1	18	0.00012
Alborzia	2847113	G	26	0	26	0.00018
Neochroococcus	2816233	G	19	1	20	0.00014
Cyanomargarita	1982356	G	157	-156	1	0.00001
Iphinoe	988814	G	65	0	65	0.00044
Aliinostoc	2035978	G	40	0	40	0.00027
Calothrix	1186	G	30	4	34	0.00023
Spirulina	1154	G	20	0	20	0.00014
Selenomonas	970	G	410	-11	399	0.00270
Sporomusa	2375	G	17	0	17	0.00012
Senegalia	1924097	G	56	0	56	0.00038
Tepidibacter	214904	G	20	1	21	0.00014
Sporohalobacter	973	G	17	0	17	0.00012
Anoxybacillus	150247	G	26	0	26	0.00018
Exiguobacterium	33986	G	19	3	22	0.00015
Paenibacillus	44249	G	13	-2	11	0.00007
Paucilactobacillus	2767890	G	13	0	13	0.00009
Enterococcus	1350	G	27	1	28	0.00019
Erysipelothrix	1647	G	18	-17	1	0.00001
Deinococcus	1298	G	101	0	101	0.00068
Microbacterium	33882	G	24	0	24	0.00016
Flavobacterium	237	G	456	-1	455	0.00308
Chryseobacterium	59732	G	147	-1	146	0.00099
Arcicella	217140	G	151	-1	150	0.00102
Runella	105	G	21	0	21	0.00014
Lacihabitans	1649462	G	21	0	21	0.00014
Arcticibacterium	2173039	G	13	0	13	0.00009
Haliscomenobacter	2349	G	48	0	48	0.00033
Phaeodactylibacter	1564515	G	33	-8	25	0.00017
Portibacter	1227556	G	32	0	32	0.00022
Lewinella	70994	G	10	-2	8	0.00005
Ferruginibacter	1004303	G	32	-1	31	0.00021
Sphingobacterium	28453	G	36	-1	35	0.00024
Gemmata	113	G	15	-2	13	0.00009
Fimbriiglobus	1914234	G	15	0	15	0.00010
Limnoglobus	2731450	G	13	0	13	0.00009
Pirellula	123	G	13	0	13	0.00009
Luteolibacter	518753	G	14	0	14	0.00009
